Time,NumOfPeople,Optical Flow
2024-05-17 12:20:41,3,0
2024-05-17 12:20:42,8,4.971941
2024-05-17 12:20:42,12,3.3430333
2024-05-17 12:20:42,16,2.6122346
2024-05-17 12:20:42,13,2.193779
2024-05-17 12:20:43,15,2.349682
2024-05-17 12:20:43,17,2.025647
2024-05-17 12:20:43,21,2.5033298
2024-05-17 12:20:43,16,1.9711304
2024-05-17 12:20:44,11,2.2972882
2024-05-17 12:20:44,9,3.1886237
2024-05-17 12:20:44,14,2.751661
2024-05-17 12:20:44,14,2.3552804
2024-05-17 12:20:45,17,2.445098
2024-05-17 12:20:45,15,2.6223004
2024-05-17 12:20:45,21,4.0877094
2024-05-17 12:20:46,7,4.6210437
2024-05-17 12:20:46,6,3.841123
2024-05-17 12:20:46,8,4.2427654
2024-05-17 12:20:46,9,3.6792223
2024-05-17 12:20:47,19,2.6395838
2024-05-17 12:20:47,15,1.9684589
2024-05-17 12:20:47,11,2.2776597
2024-05-17 12:20:47,15,2.9748735
2024-05-17 12:20:48,8,2.7301254
2024-05-17 12:20:48,12,2.3297417
2024-05-17 12:20:48,18,2.338399
2024-05-17 12:20:48,13,2.255179
2024-05-17 12:20:48,6,1.6705459
2024-05-17 12:20:49,10,1.8282005
2024-05-17 12:20:49,9,1.8495446
2024-05-17 12:20:49,4,1.8678485
2024-05-17 12:20:49,8,2.7423732
2024-05-17 12:20:50,13,2.6461396
2024-05-17 12:20:50,11,2.531435
2024-05-17 12:20:50,10,1.8579301
2024-05-17 12:20:50,13,2.2899024
2024-05-17 12:20:51,16,1.9067852
2024-05-17 12:20:51,16,1.4340991
2024-05-17 12:20:51,16,1.89775
2024-05-17 12:20:51,17,1.4295459
2024-05-17 12:20:52,14,2.6855454
2024-05-17 12:20:52,13,1.2039917
2024-05-17 12:20:52,11,1.6612414
2024-05-17 12:20:52,10,1.7127918
2024-05-17 12:20:53,9,3.0373452
2024-05-17 12:20:53,9,3.5905006
2024-05-17 12:20:53,10,3.921985
2024-05-17 12:20:53,12,2.4680521
2024-05-17 12:20:54,12,3.9494886
2024-05-17 12:20:54,11,3.7041678
2024-05-17 12:20:54,10,3.419605
2024-05-17 12:20:54,16,4.864517
2024-05-17 12:20:55,16,4.2821913
2024-05-17 12:20:55,13,2.742502
2024-05-17 12:20:55,12,3.9994438
2024-05-17 12:20:55,10,3.5871587
2024-05-17 12:20:56,16,3.3910086
2024-05-17 12:20:56,14,3.4262044
2024-05-17 12:20:56,14,4.219746
2024-05-17 12:20:56,10,2.5465639
2024-05-17 12:20:57,7,2.8304446
2024-05-17 12:20:57,12,4.9750733
2024-05-17 12:20:57,12,3.7764957
2024-05-17 12:20:57,11,3.7889323
2024-05-17 12:20:58,6,3.809465
2024-05-17 12:20:58,11,3.4672506
2024-05-17 12:20:58,11,3.1947072
2024-05-17 12:20:58,9,3.6818175
2024-05-17 12:20:59,13,2.751678
2024-05-17 12:20:59,11,9.551349
2024-05-17 12:20:59,6,6.998146
2024-05-17 12:20:59,6,4.6113873
2024-05-17 12:21:00,4,5.968892
2024-05-17 12:21:00,3,4.889786
2024-05-17 12:21:00,3,3.0501056
2024-05-17 12:21:00,9,3.0744164
2024-05-17 12:21:01,5,2.0292525
2024-05-17 12:21:01,12,2.0802534
2024-05-17 12:21:01,12,2.8078368
2024-05-17 12:21:01,9,3.487467
2024-05-17 12:21:02,9,3.674523
2024-05-17 12:21:02,10,3.5085428
2024-05-17 12:21:02,8,3.757454
2024-05-17 12:21:02,9,2.2419057
2024-05-17 12:21:03,8,2.2143185
2024-05-17 12:21:03,7,2.1546006
2024-05-17 12:21:03,8,2.4227269
2024-05-17 12:21:03,10,1.3807237
2024-05-17 12:21:04,8,1.5673157
2024-05-17 12:21:04,5,1.7900089
2024-05-17 12:21:04,14,1.900484
2024-05-17 12:21:04,14,3.5442758
2024-05-17 12:21:05,14,10.482229
2024-05-17 12:21:05,8,5.6408315
2024-05-17 12:21:05,9,3.9442542
2024-05-17 12:21:05,9,4.0868654
2024-05-17 12:21:06,5,7.9238467
2024-05-17 12:21:06,6,2.778507
2024-05-17 12:21:06,12,2.8017485
2024-05-17 12:21:06,9,3.1229677
2024-05-17 12:21:07,12,4.3450556
2024-05-17 12:21:07,12,4.496382
2024-05-17 12:21:07,8,2.9993856
2024-05-17 12:21:07,4,5.8882947
