Time,NumOfPeople,Optical Flow
2024-05-16 14:00:20,14,0
2024-05-16 14:00:20,6,4.9209247
2024-05-16 14:00:21,11,4.58198
2024-05-16 14:00:21,12,3.7799683
2024-05-16 14:00:21,9,3.5337472
2024-05-16 14:00:21,14,3.483409
2024-05-16 14:00:22,12,3.4921591
2024-05-16 14:00:22,8,2.779551
2024-05-16 14:00:22,13,2.3514974
2024-05-16 14:00:22,9,2.329278
2024-05-16 14:00:22,8,2.3287652
2024-05-16 14:00:23,9,3.4009743
2024-05-16 14:00:23,9,3.9319885
2024-05-16 14:00:23,9,4.177899
2024-05-16 14:00:24,8,3.1035898
2024-05-16 14:00:24,10,3.2246735
2024-05-16 14:00:24,9,4.4419394
2024-05-16 14:00:24,12,4.8483014
2024-05-16 14:00:25,12,5.3249326
2024-05-16 14:00:25,12,5.286393
2024-05-16 14:00:25,10,3.9473002
2024-05-16 14:00:26,10,4.0962453
2024-05-16 14:00:26,9,4.403153
2024-05-16 14:00:26,12,2.7619631
2024-05-16 14:00:26,9,2.170059
2024-05-16 14:00:27,7,2.2780075
2024-05-16 14:00:27,9,2.5525255
2024-05-16 14:00:27,12,2.991796
2024-05-16 14:00:27,10,2.7791047
2024-05-16 14:00:28,8,3.7736173
2024-05-16 14:00:28,8,2.658031
2024-05-16 14:00:28,8,4.2441173
2024-05-16 14:00:28,6,3.5515268
2024-05-16 14:00:29,4,2.5457103
2024-05-16 14:00:29,6,3.5228698
2024-05-16 14:00:29,7,1.9828119
2024-05-16 14:00:30,7,1.7805898
2024-05-16 14:00:30,2,1.9896277
2024-05-16 14:00:30,6,2.71649
2024-05-16 14:00:30,9,1.8234426
2024-05-16 14:00:31,10,2.0909536
2024-05-16 14:00:31,4,3.4249675
2024-05-16 14:00:31,7,2.78642
2024-05-16 14:00:31,9,3.3642585
2024-05-16 14:00:32,9,4.2840905
2024-05-16 14:00:32,10,3.0508041
2024-05-16 14:00:32,8,2.5206845
2024-05-16 14:00:32,10,3.9118526
2024-05-16 14:00:33,10,3.166737
2024-05-16 14:00:33,14,2.7834625
2024-05-16 14:00:33,13,1.9607046
2024-05-16 14:00:33,13,2.1066177
2024-05-16 14:00:34,12,3.1926136
2024-05-16 14:00:34,15,2.294493
2024-05-16 14:00:34,10,2.4053288
2024-05-16 14:00:34,10,2.9823334
2024-05-16 14:00:35,11,4.1514573
2024-05-16 14:00:35,11,2.9291315
2024-05-16 14:00:35,10,2.5000823
2024-05-16 14:00:35,7,1.770122
2024-05-16 14:00:36,11,1.3309805
2024-05-16 14:00:36,9,1.9113424
2024-05-16 14:00:36,11,2.6326902
2024-05-16 14:00:37,13,2.058222
2024-05-16 14:00:37,15,2.9160364
2024-05-16 14:00:37,11,3.1411736
2024-05-16 14:00:37,13,2.2562258
2024-05-16 14:00:38,10,3.6872663
2024-05-16 14:00:38,7,2.4092567
2024-05-16 14:00:38,2,2.6485922
2024-05-16 14:00:38,7,2.107573
2024-05-16 14:00:39,12,1.5198652
2024-05-16 14:00:39,9,1.6835893
2024-05-16 14:00:39,11,4.0963345
2024-05-16 14:00:39,12,2.0040948
2024-05-16 14:00:40,15,2.0846162
2024-05-16 14:00:40,14,2.5880432
2024-05-16 14:00:40,9,3.986787
2024-05-16 14:00:40,9,2.1294887
2024-05-16 14:00:41,9,1.9397813
2024-05-16 14:00:41,8,2.7294877
2024-05-16 14:00:41,6,1.5753889
2024-05-16 14:00:41,4,1.7463301
2024-05-16 14:00:42,11,1.3707086
2024-05-16 14:00:42,15,1.6444179
2024-05-16 14:00:42,16,2.0329652
2024-05-16 14:00:42,13,2.5070653
2024-05-16 14:00:43,10,3.182277
2024-05-16 14:00:43,15,3.442131
2024-05-16 14:00:43,19,3.5594873
2024-05-16 14:00:44,16,4.708656
2024-05-16 14:00:44,11,2.520067
2024-05-16 14:00:44,12,4.014223
2024-05-16 14:00:44,16,2.6223688
2024-05-16 14:00:45,14,4.2155194
2024-05-16 14:00:45,9,4.249602
2024-05-16 14:00:45,13,3.4585295
2024-05-16 14:00:45,11,4.0644536
2024-05-16 14:00:46,12,3.3630846
2024-05-16 14:00:46,14,4.1788235
2024-05-16 14:00:46,16,3.0391216
2024-05-16 14:00:46,14,4.6286106
2024-05-16 14:00:47,15,4.0648484
2024-05-16 14:00:47,11,3.2289817
2024-05-16 14:00:47,11,4.007639
2024-05-16 14:00:48,15,2.3308814
2024-05-16 14:00:48,16,3.1332335
2024-05-16 14:00:48,12,3.1231723
2024-05-16 14:00:48,12,2.621974
2024-05-16 14:00:49,6,1.8185315
2024-05-16 14:00:49,8,1.7701381
2024-05-16 14:00:49,10,2.167653
2024-05-16 14:00:49,16,1.548451
