Time,NumOfPeople,Optical Flow
2024-05-16 10:25:31,8,0
2024-05-16 10:25:31,4,3.72507
2024-05-16 10:25:32,9,1.3577437
2024-05-16 10:25:32,9,1.9215487
2024-05-16 10:25:32,8,1.8608171
2024-05-16 10:25:32,9,2.5141327
2024-05-16 10:25:33,9,1.9963871
2024-05-16 10:25:33,10,1.4662387
2024-05-16 10:25:33,9,1.1553158
2024-05-16 10:25:33,8,2.167157
2024-05-16 10:25:34,8,3.5665824
2024-05-16 10:25:34,9,2.3624003
2024-05-16 10:25:34,8,1.6560159
2024-05-16 10:25:34,9,1.2907184
2024-05-16 10:25:35,9,2.8012276
2024-05-16 10:25:35,9,4.428743
2024-05-16 10:25:35,9,4.3002157
2024-05-16 10:25:36,8,3.4449332
2024-05-16 10:25:36,12,2.3244388
2024-05-16 10:25:36,12,4.105693
2024-05-16 10:25:36,13,2.858757
2024-05-16 10:25:37,12,3.7266073
2024-05-16 10:25:37,14,1.9668202
2024-05-16 10:25:37,9,1.4787943
2024-05-16 10:25:37,10,1.413823
2024-05-16 10:25:38,12,1.5235568
2024-05-16 10:25:38,14,1.6928589
2024-05-16 10:25:38,14,2.0829973
2024-05-16 10:25:39,13,1.5688363
2024-05-16 10:25:39,9,3.2961757
2024-05-16 10:25:39,6,2.9714737
2024-05-16 10:25:39,1,3.638574
2024-05-16 10:25:40,1,1.7467651
2024-05-16 10:25:42,6,4.4075103
2024-05-16 10:25:42,11,4.764427
2024-05-16 10:25:42,13,4.926957
2024-05-16 10:25:42,14,3.3784437
2024-05-16 10:25:43,10,5.0721107
2024-05-16 10:25:43,12,6.5923
2024-05-16 10:25:43,13,4.066399
2024-05-16 10:25:43,14,3.5498803
2024-05-16 10:25:44,16,2.6629071
2024-05-16 10:25:44,12,2.311393
2024-05-16 10:25:44,9,4.4036665
2024-05-16 10:25:44,7,3.5916932
2024-05-16 10:25:45,2,3.1573908
2024-05-16 10:25:45,5,3.4025362
2024-05-16 10:25:45,7,4.6752205
2024-05-16 10:25:45,7,4.194296
2024-05-16 10:25:46,6,4.1356854
2024-05-16 10:25:46,7,3.5507293
2024-05-16 10:25:46,5,4.64934
2024-05-16 10:25:47,2,4.23352
2024-05-16 10:25:47,8,2.3236823
2024-05-16 10:25:47,6,2.7895722
2024-05-16 10:25:47,5,4.659056
2024-05-16 10:25:48,12,2.6077693
2024-05-16 10:25:48,9,2.248752
2024-05-16 10:25:48,11,1.7744699
2024-05-16 10:25:49,10,1.2898418
2024-05-16 10:25:49,7,1.3230149
2024-05-16 10:25:49,8,1.3758255
2024-05-16 10:25:49,8,1.5407887
2024-05-16 10:25:50,9,1.2395413
2024-05-16 10:25:50,10,1.1603659
2024-05-16 10:25:50,9,1.2642484
2024-05-16 10:25:50,10,0.8547121
2024-05-16 10:25:51,11,0.8803345
2024-05-16 10:25:51,10,1.2953029
2024-05-16 10:25:51,11,1.4933739
2024-05-16 10:25:51,9,0.96219105
2024-05-16 10:25:52,13,2.052119
2024-05-16 10:25:52,11,3.362154
2024-05-16 10:25:52,14,4.5473194
2024-05-16 10:25:52,11,3.9983947
2024-05-16 10:25:53,11,3.57081
2024-05-16 10:25:53,10,4.456335
2024-05-16 10:25:53,13,4.825871
2024-05-16 10:25:54,12,3.6818664
2024-05-16 10:25:54,12,5.5790634
2024-05-16 10:25:54,7,4.3596287
2024-05-16 10:25:54,11,3.378259
2024-05-16 10:25:55,13,4.17343
2024-05-16 10:25:55,13,4.5960197
2024-05-16 10:25:55,13,3.8124735
2024-05-16 10:25:55,14,2.1286983
2024-05-16 10:25:56,13,2.6107733
2024-05-16 10:25:56,13,4.8308454
2024-05-16 10:25:56,13,2.9315007
2024-05-16 10:25:57,14,3.322816
2024-05-16 10:25:57,13,3.1509802
2024-05-16 10:25:57,14,4.244101
2024-05-16 10:25:57,12,3.8042262
2024-05-16 10:25:58,14,4.6563873
2024-05-16 10:25:58,16,3.1976705
2024-05-16 10:25:58,19,2.5808232
2024-05-16 10:25:59,15,2.0256464
2024-05-16 10:25:59,13,2.2988274
2024-05-16 10:25:59,11,1.5940167
2024-05-16 10:26:00,10,1.6251254
2024-05-16 10:26:00,8,1.6521416
2024-05-16 10:26:00,10,2.2365248
2024-05-16 10:26:00,8,3.7685363
2024-05-16 10:26:00,9,4.9967027
