Time,NumOfPeople,Optical Flow
2024-05-16 10:22:00,14,0
2024-05-16 10:22:00,8,8.280556
2024-05-16 10:22:01,6,7.5510736
2024-05-16 10:22:01,15,3.7313106
2024-05-16 10:22:01,13,2.9329772
2024-05-16 10:22:01,5,2.4044108
2024-05-16 10:22:01,11,2.0803092
2024-05-16 10:22:02,10,2.1296942
2024-05-16 10:22:02,9,2.2589464
2024-05-16 10:22:02,10,2.178881
2024-05-16 10:22:02,14,2.8935142
2024-05-16 10:22:03,10,2.9002078
2024-05-16 10:22:03,6,3.4651995
2024-05-16 10:22:03,10,3.477386
2024-05-16 10:22:04,11,3.022405
2024-05-16 10:22:04,9,4.4562683
2024-05-16 10:22:04,12,3.1396008
2024-05-16 10:22:04,11,1.8443748
2024-05-16 10:22:05,9,2.9369783
2024-05-16 10:22:05,11,3.179281
2024-05-16 10:22:05,13,2.4346015
2024-05-16 10:22:05,12,1.3858945
2024-05-16 10:22:06,9,16.008507
2024-05-16 10:22:06,14,3.829347
2024-05-16 10:22:06,15,4.8437753
2024-05-16 10:22:07,14,3.4546337
2024-05-16 10:22:07,13,2.341422
2024-05-16 10:22:07,14,2.6767323
2024-05-16 10:22:07,14,2.938401
2024-05-16 10:22:08,14,2.8030753
2024-05-16 10:22:08,12,2.262065
2024-05-16 10:22:08,10,3.0836916
2024-05-16 10:22:08,11,2.857012
2024-05-16 10:22:13,11,7.0218554
2024-05-16 10:22:13,15,2.995821
2024-05-16 10:22:14,12,1.7585394
2024-05-16 10:22:14,16,1.9310539
2024-05-16 10:22:14,12,2.723974
2024-05-16 10:22:14,7,4.0326996
2024-05-16 10:22:15,17,3.6152453
2024-05-16 10:22:15,19,4.3542404
2024-05-16 10:22:15,19,3.8107085
2024-05-16 10:22:15,17,2.6723554
2024-05-16 10:22:16,18,2.1339352
2024-05-16 10:22:16,21,2.901716
2024-05-16 10:22:16,17,3.6285574
2024-05-16 10:22:16,17,3.9936512
2024-05-16 10:22:17,16,5.660901
2024-05-16 10:22:17,18,5.380825
2024-05-16 10:22:17,18,5.4584975
2024-05-16 10:22:17,20,6.006581
2024-05-16 10:22:18,20,8.354219
2024-05-16 10:22:18,22,5.9788074
2024-05-16 10:22:18,18,6.019224
2024-05-16 10:22:19,22,6.6303496
2024-05-16 10:22:19,17,6.876178
2024-05-16 10:22:19,17,7.416381
2024-05-16 10:22:19,20,6.052261
2024-05-16 10:22:20,21,3.9994478
2024-05-16 10:22:20,18,4.9170136
2024-05-16 10:22:20,21,3.7861114
2024-05-16 10:22:21,23,4.632398
2024-05-16 10:22:21,22,4.28817
2024-05-16 10:22:21,22,4.087229
2024-05-16 10:22:21,18,6.9429474
2024-05-16 10:22:22,18,2.0203702
2024-05-16 10:22:22,17,1.7167702
2024-05-16 10:22:22,19,3.13486
2024-05-16 10:22:22,14,2.536648
2024-05-16 10:22:23,17,2.2948084
2024-05-16 10:22:23,18,2.6961608
2024-05-16 10:22:23,16,3.5042257
2024-05-16 10:22:24,15,4.330304
2024-05-16 10:22:24,16,3.7768526
2024-05-16 10:22:24,13,4.445779
2024-05-16 10:22:24,14,3.781675
2024-05-16 10:22:25,14,5.9262905
2024-05-16 10:22:25,16,5.612488
2024-05-16 10:22:25,15,3.4072382
2024-05-16 10:22:25,14,3.6375794
2024-05-16 10:22:26,10,3.9833252
2024-05-16 10:22:26,14,4.379372
2024-05-16 10:22:26,12,4.8182416
2024-05-16 10:22:26,18,3.2486205
2024-05-16 10:22:27,15,3.367558
2024-05-16 10:22:27,14,3.5586336
2024-05-16 10:22:27,16,5.354446
2024-05-16 10:22:27,13,5.2083616
2024-05-16 10:22:28,11,5.591838
2024-05-16 10:22:28,14,5.0610533
2024-05-16 10:22:28,10,3.8970568
2024-05-16 10:22:29,13,3.095002
2024-05-16 10:22:29,12,4.27904
2024-05-16 10:22:29,13,3.0691519
2024-05-16 10:22:29,12,4.3791566
