Time,NumOfPeople,Optical Flow
2024-05-16 10:05:21,12,0
2024-05-16 10:05:22,18,5.81233
2024-05-16 10:05:22,19,3.526563
2024-05-16 10:05:22,22,3.0698595
2024-05-16 10:05:22,24,2.3712616
2024-05-16 10:05:22,22,3.1376617
2024-05-16 10:05:23,20,3.239172
2024-05-16 10:05:23,20,2.3165874
2024-05-16 10:05:23,20,2.3682978
2024-05-16 10:05:23,19,2.6582139
2024-05-16 10:05:23,25,2.0077043
2024-05-16 10:05:24,23,1.5114946
2024-05-16 10:05:24,22,3.2052515
2024-05-16 10:05:24,15,1.9834493
2024-05-16 10:05:24,12,3.6639266
2024-05-16 10:05:25,11,2.4616387
2024-05-16 10:05:25,11,3.220309
2024-05-16 10:05:25,10,8.017852
2024-05-16 10:05:25,15,2.0182862
2024-05-16 10:05:25,17,2.651471
2024-05-16 10:05:26,16,5.117282
2024-05-16 10:05:26,5,3.6055846
2024-05-16 10:05:26,14,3.1850576
2024-05-16 10:05:26,7,5.8660297
2024-05-16 10:05:27,9,2.4406943
2024-05-16 10:05:27,11,3.7715995
2024-05-16 10:05:27,15,3.4550757
2024-05-16 10:05:27,13,3.4473882
2024-05-16 10:05:28,13,3.6903698
2024-05-16 10:05:28,18,3.6173286
2024-05-16 10:05:28,18,4.9122286
2024-05-16 10:05:28,18,3.7143095
2024-05-16 10:05:29,17,5.159461
2024-05-16 10:05:29,10,4.849694
2024-05-16 10:05:29,6,8.830939
2024-05-16 10:05:29,10,7.323339
2024-05-16 10:05:29,11,7.329089
2024-05-16 10:05:30,7,6.822864
2024-05-16 10:05:30,6,9.672885
2024-05-16 10:05:30,18,5.903233
2024-05-16 10:05:30,14,4.9868717
2024-05-16 10:05:31,16,6.2208877
2024-05-16 10:05:31,17,11.420846
2024-05-16 10:05:31,20,4.0115814
2024-05-16 10:05:31,19,9.994886
2024-05-16 10:05:32,24,3.6427715
2024-05-16 10:05:32,22,4.1804876
2024-05-16 10:05:32,24,4.8024764
2024-05-16 10:05:32,25,3.7732832
2024-05-16 10:05:32,21,1.2997035
2024-05-16 10:05:33,15,3.257063
2024-05-16 10:05:33,10,5.013772
2024-05-16 10:05:33,7,4.3304167
2024-05-16 10:05:33,13,6.3113427
2024-05-16 10:05:34,17,2.1527662
2024-05-16 10:05:34,9,4.091985
2024-05-16 10:05:34,5,2.1276984
2024-05-16 10:05:34,10,2.6883254
2024-05-16 10:05:35,7,2.5551505
2024-05-16 10:05:35,11,3.028343
2024-05-16 10:05:35,14,4.88517
2024-05-16 10:05:35,8,2.4207637
2024-05-16 10:05:35,6,2.479176
2024-05-16 10:05:36,14,1.8291494
2024-05-16 10:05:36,10,1.244412
2024-05-16 10:05:36,13,6.7618337
2024-05-16 10:05:36,7,3.4637613
2024-05-16 10:05:37,14,3.2003722
2024-05-16 10:05:37,12,4.118608
2024-05-16 10:05:37,19,5.1430726
2024-05-16 10:05:37,21,2.2808983
2024-05-16 10:05:38,15,3.236781
2024-05-16 10:05:38,19,2.9580765
2024-05-16 10:05:38,14,4.867498
2024-05-16 10:05:38,15,5.2429433
2024-05-16 10:05:38,22,3.9791179
2024-05-16 10:05:39,16,4.8376613
2024-05-16 10:05:39,20,5.6979117
2024-05-16 10:05:39,12,6.2322617
2024-05-16 10:05:39,6,4.752823
2024-05-16 10:05:40,6,2.569971
2024-05-16 10:05:40,11,7.549052
2024-05-16 10:05:40,16,14.910402
2024-05-16 10:05:40,18,3.1783402
2024-05-16 10:05:40,14,2.664012
2024-05-16 10:05:41,15,2.7960808
2024-05-16 10:05:41,18,2.5282924
2024-05-16 10:05:41,22,2.5685089
2024-05-16 10:05:41,19,4.094483
2024-05-16 10:05:42,23,5.038147
2024-05-16 10:05:42,20,3.4038122
2024-05-16 10:05:42,19,3.0063262
2024-05-16 10:05:42,20,3.64737
2024-05-16 10:05:43,16,2.804677
2024-05-16 10:05:43,13,3.9965487
2024-05-16 10:05:43,12,2.9762146
2024-05-16 10:05:43,13,4.06338
2024-05-16 10:05:43,13,4.5244656
2024-05-16 10:05:44,15,2.2199242
2024-05-16 10:05:44,14,1.8943553
2024-05-16 10:05:44,15,1.7642578
2024-05-16 10:05:44,15,2.1401281
2024-05-16 10:05:45,18,1.0653045
2024-05-16 10:05:45,17,1.1997315
2024-05-16 10:05:45,17,0.9721661
2024-05-16 10:05:45,15,1.7261157
2024-05-16 10:05:46,18,1.7031733
2024-05-16 10:05:46,18,2.5908513
2024-05-16 10:05:46,15,2.296663
2024-05-16 10:05:46,15,1.8086401
2024-05-16 10:05:47,14,2.6210814
2024-05-16 10:05:47,16,3.1965742
2024-05-16 10:05:47,14,2.1978672
2024-05-16 10:05:47,13,5.679029
2024-05-16 10:05:47,14,5.4018545
2024-05-16 10:05:48,13,5.382635
2024-05-16 10:05:48,16,5.295755
2024-05-16 10:05:48,19,2.5786915
2024-05-16 10:05:48,16,5.7378745
2024-05-16 10:05:49,17,5.6515627
2024-05-16 10:05:49,19,1.7099189
2024-05-16 10:05:49,22,3.7512276
2024-05-16 10:05:49,22,1.8078225
2024-05-16 10:05:49,19,2.0707781
2024-05-16 10:05:50,18,3.453357
2024-05-16 10:05:50,18,2.9458911
2024-05-16 10:05:50,16,4.4418044
2024-05-16 10:05:50,20,2.6082106
2024-05-16 10:05:51,24,2.318359
2024-05-16 10:05:51,18,2.6333659
2024-05-16 10:05:51,20,1.8446751
2024-05-16 10:05:51,20,2.9828432
2024-05-16 10:05:52,19,1.697769
2024-05-16 10:05:52,19,2.0655048
2024-05-16 10:05:52,17,7.0637527
2024-05-16 10:05:52,15,3.8236527
2024-05-16 10:05:52,18,3.4495854
2024-05-16 10:05:53,16,3.0471578
2024-05-16 10:05:53,14,4.6535835
2024-05-16 10:05:53,13,6.5104966
2024-05-16 10:05:53,19,3.9698958
2024-05-16 10:05:54,19,4.3438625
2024-05-16 10:05:54,17,4.1730638
2024-05-16 10:05:54,22,2.753151
2024-05-16 10:05:54,14,3.316455
2024-05-16 10:05:55,16,3.0039942
2024-05-16 10:05:55,20,2.7070603
2024-05-16 10:05:55,19,2.7503757
2024-05-16 10:05:55,18,2.2667499
2024-05-16 10:05:56,23,3.413283
2024-05-16 10:05:56,20,2.997386
2024-05-16 10:05:56,19,3.250648
2024-05-16 10:05:56,20,3.8108141
2024-05-16 10:05:56,16,4.079669
2024-05-16 10:05:57,19,9.788283
2024-05-16 10:05:57,15,7.6510262
2024-05-16 10:05:57,15,2.3702016
2024-05-16 10:05:57,16,1.622168
2024-05-16 10:05:58,13,5.4048376
2024-05-16 10:05:58,13,5.0481706
2024-05-16 10:05:58,13,1.6938454
2024-05-16 10:05:58,14,0.80467474
2024-05-16 10:05:59,13,1.2061844
2024-05-16 10:05:59,16,0.858261
2024-05-16 10:05:59,16,1.0931802
2024-05-16 10:05:59,15,1.235526
2024-05-16 10:05:59,18,1.0855972
2024-05-16 10:06:00,15,0.90174896
2024-05-16 10:06:00,16,0.9691175
2024-05-16 10:06:00,14,0.9448808
2024-05-16 10:06:00,17,1.0110481
2024-05-16 10:06:01,16,1.22771
2024-05-16 10:06:01,14,0.99101126
2024-05-16 10:06:01,11,1.6820084
2024-05-16 10:06:01,14,0.9952325
2024-05-16 10:06:02,11,1.9964478
2024-05-16 10:06:02,14,2.51511
2024-05-16 10:06:02,13,1.4080133
2024-05-16 10:06:02,10,2.4289286
2024-05-16 10:06:02,16,1.9697835
2024-05-16 10:06:03,16,2.5954485
2024-05-16 10:06:03,13,1.4799381
2024-05-16 10:06:03,12,2.285108
2024-05-16 10:06:03,11,3.2991433
2024-05-16 10:06:04,13,3.1714077
2024-05-16 10:06:04,15,5.3331194
2024-05-16 10:06:04,15,3.7809265
2024-05-16 10:06:04,18,4.259082
2024-05-16 10:06:05,18,3.042886
2024-05-16 10:06:05,15,2.5925245
2024-05-16 10:06:05,15,2.2558694
2024-05-16 10:06:05,17,1.7931453
2024-05-16 10:06:06,19,1.7513806
2024-05-16 10:06:06,21,1.6449003
2024-05-16 10:06:06,20,1.5306183
2024-05-16 10:06:06,18,2.9555895
2024-05-16 10:06:06,8,4.2058086
2024-05-16 10:06:07,16,4.7088385
2024-05-16 10:06:07,17,3.896075
2024-05-16 10:06:07,11,4.7180037
2024-05-16 10:06:07,13,4.7031517
2024-05-16 10:06:08,20,3.9501355
2024-05-16 10:06:08,18,3.741143
2024-05-16 10:06:08,18,2.4398992
2024-05-16 10:06:08,15,3.2935607
2024-05-16 10:06:09,19,3.4049747
2024-05-16 10:06:09,19,2.9071531
2024-05-16 10:06:09,21,2.7006927
2024-05-16 10:06:09,17,2.4336638
2024-05-16 10:06:10,21,2.2908368
2024-05-16 10:06:10,17,2.014109
2024-05-16 10:06:10,18,1.8399894
2024-05-16 10:06:10,20,1.7724384
2024-05-16 10:06:11,18,1.6607763
2024-05-16 10:06:11,16,1.6194019
2024-05-16 10:06:11,18,1.4112369
2024-05-16 10:06:11,17,1.7972046
2024-05-16 10:06:11,17,3.2791302
2024-05-16 10:06:12,18,3.187921
2024-05-16 10:06:12,20,3.3594105
2024-05-16 10:06:12,20,1.6850525
2024-05-16 10:06:12,19,1.4024254
2024-05-16 10:06:13,17,1.2731438
2024-05-16 10:06:13,18,2.1420186
2024-05-16 10:06:13,17,1.7226212
2024-05-16 10:06:13,20,1.9571248
2024-05-16 10:06:14,20,1.3170087
2024-05-16 10:06:14,17,2.5405033
2024-05-16 10:06:14,20,2.3903227
2024-05-16 10:06:14,14,1.6779736
2024-05-16 10:06:15,16,4.05896
2024-05-16 10:06:15,13,3.3011978
2024-05-16 10:06:15,15,5.260163
2024-05-16 10:06:15,14,1.6094986
2024-05-16 10:06:16,17,1.9765412
2024-05-16 10:06:16,17,3.3373268
2024-05-16 10:06:16,16,2.8605118
2024-05-16 10:06:16,16,2.4772282
2024-05-16 10:06:17,15,2.2636034
2024-05-16 10:06:17,13,2.8005352
2024-05-16 10:06:17,14,3.090709
2024-05-16 10:06:17,16,2.3857267
2024-05-16 10:06:17,13,1.7806846
2024-05-16 10:06:18,13,1.5973773
2024-05-16 10:06:18,15,1.3366601
2024-05-16 10:06:18,13,1.7693866
2024-05-16 10:06:18,14,3.4955134
2024-05-16 10:06:19,14,3.645168
2024-05-16 10:06:19,11,2.4429994
2024-05-16 10:06:19,11,3.3781912
2024-05-16 10:06:19,11,2.4746277
2024-05-16 10:06:20,12,3.8002286
2024-05-16 10:06:20,13,4.346882
2024-05-16 10:06:20,14,3.1188598
2024-05-16 10:06:20,16,2.1221964
2024-05-16 10:06:21,14,2.734287
2024-05-16 10:06:21,16,2.8084438
2024-05-16 10:06:21,14,4.232967
2024-05-16 10:06:21,15,3.7395918
2024-05-16 10:06:22,17,3.1998909
2024-05-16 10:06:22,14,1.6707449
2024-05-16 10:06:22,20,2.2780893
2024-05-16 10:06:22,18,2.7577908
2024-05-16 10:06:23,15,2.1488094
2024-05-16 10:06:23,14,2.4671943
2024-05-16 10:06:23,13,1.5448545
2024-05-16 10:06:23,16,1.13696
2024-05-16 10:06:23,17,2.4607217
2024-05-16 10:06:24,17,1.9080206
2024-05-16 10:06:24,14,2.5293832
2024-05-16 10:06:24,14,2.2886562
2024-05-16 10:06:24,12,2.373126
2024-05-16 10:06:25,13,1.596409
2024-05-16 10:06:25,8,1.3673947
2024-05-16 10:06:25,9,1.2550224
2024-05-16 10:06:25,4,1.2846582
2024-05-16 10:06:26,11,2.1815104
2024-05-16 10:06:26,15,3.565987
2024-05-16 10:06:26,14,1.576406
2024-05-16 10:06:26,17,1.8117523
2024-05-16 10:06:27,15,2.1617987
2024-05-16 10:06:27,12,2.8930855
2024-05-16 10:06:27,10,2.582677
2024-05-16 10:06:27,11,1.6809733
2024-05-16 10:06:28,10,1.406499
2024-05-16 10:06:28,7,1.5306969
2024-05-16 10:06:28,11,1.6883535
2024-05-16 10:06:28,13,1.512394
2024-05-16 10:06:28,11,1.23479
2024-05-16 10:06:29,6,1.1907331
2024-05-16 10:06:29,6,1.0811661
2024-05-16 10:06:29,5,1.3958794
2024-05-16 10:06:29,8,1.8471934
2024-05-16 10:06:30,12,1.2501495
2024-05-16 10:06:30,8,1.670731
2024-05-16 10:06:30,13,1.6821758
2024-05-16 10:06:30,12,1.8648932
2024-05-16 10:06:31,12,1.9528884
2024-05-16 10:06:31,10,2.225832
2024-05-16 10:06:31,15,2.316354
2024-05-16 10:06:31,17,1.6243052
2024-05-16 10:06:32,14,1.4355872
2024-05-16 10:06:32,16,1.2873464
2024-05-16 10:06:32,16,1.224073
2024-05-16 10:06:32,14,2.427881
2024-05-16 10:06:33,13,1.5094949
2024-05-16 10:06:33,14,2.415059
2024-05-16 10:06:33,16,1.7421507
2024-05-16 10:06:33,12,1.9524865
2024-05-16 10:06:33,16,3.3581235
2024-05-16 10:06:34,13,2.7322416
2024-05-16 10:06:34,14,3.667985
2024-05-16 10:06:34,12,2.4209442
2024-05-16 10:06:34,12,2.66913
2024-05-16 10:06:35,9,2.063473
2024-05-16 10:06:35,8,3.418029
2024-05-16 10:06:35,8,5.799873
2024-05-16 10:06:35,11,4.7393937
2024-05-16 10:06:36,17,5.426221
2024-05-16 10:06:36,12,2.6485534
2024-05-16 10:06:36,13,3.5925086
2024-05-16 10:06:36,18,2.4023242
2024-05-16 10:06:37,13,2.4038837
2024-05-16 10:06:37,15,1.9042702
2024-05-16 10:06:37,15,2.332354
2024-05-16 10:06:37,10,2.4432216
2024-05-16 10:06:38,12,2.7652993
2024-05-16 10:06:38,13,2.3524656
2024-05-16 10:06:38,16,2.3132067
2024-05-16 10:06:38,15,2.770446
2024-05-16 10:06:39,16,2.772182
2024-05-16 10:06:39,18,4.051378
2024-05-16 10:06:39,13,3.931973
2024-05-16 10:06:39,17,2.5937872
2024-05-16 10:06:40,16,2.4800117
2024-05-16 10:06:40,14,3.089333
2024-05-16 10:06:40,11,1.8794454
2024-05-16 10:06:40,18,3.3765295
2024-05-16 10:06:41,14,2.719784
2024-05-16 10:06:41,15,2.2916467
2024-05-16 10:06:41,16,1.5652719
2024-05-16 10:06:41,17,1.2142328
2024-05-16 10:06:42,17,1.2810295
2024-05-16 10:06:42,12,1.9482633
